project	bug	formula	exam_best_case_b	exam_best_case_f	exam_average_case_b	exam_average_case_f	exam_worst_case_b	exam_worst_case_f
Chart	1	barinel	0.000373513726629454	0.0027130906624463	0.000373513726629454	0.0027130906624463	0.000373513726629454	0.0027130906624463
Chart	1	dstar2	0.000373513726629454	0.0027130906624463	0.000373513726629454	0.0027130906624463	0.000373513726629454	0.0027130906624463
Chart	1	ochiai	0.000373513726629454	0.0027130906624463	0.000373513726629454	0.0027130906624463	0.000373513726629454	0.0027130906624463
Chart	1	opt2	0.000373513726629454	0.0027130906624463	0.000373513726629454	0.0027130906624463	0.000373513726629454	0.0027130906624463
Chart	1	tarantula	0.000373513726629454	0.0027130906624463	0.000373513726629454	0.0027130906624463	0.000373513726629454	0.0027130906624463
Chart	2	barinel	0.000925849040936644	0.0354671968190855	0.00105870630241634	0.0405566600397614	0.00799738437266462	0.306361829025845
Chart	2	dstar2	0.000925849040936644	0.0354671968190855	0.00105870630241634	0.0405566600397614	0.00799738437266462	0.306361829025845
Chart	2	ochiai	0.000925849040936644	0.0354671968190855	0.00105870630241634	0.0405566600397614	0.00799738437266462	0.306361829025845
Chart	2	opt2	0.00141368429793241	0.054155069582505	0.00154654155941211	0.0592445328031809	0.0120401893215976	0.461232604373757
Chart	2	tarantula	0.000925849040936644	0.0354671968190855	0.00105870630241634	0.0405566600397614	0.00799738437266462	0.306361829025845
Chart	3	barinel	3.37427453097584e-05	0.00206874602164227	6.74854906195168e-05	0.00413749204328453	6.74854906195168e-05	0.00413749204328453
Chart	3	dstar2	3.37427453097584e-05	0.00206874602164227	6.74854906195168e-05	0.00413749204328453	6.74854906195168e-05	0.00413749204328453
Chart	3	ochiai	3.37427453097584e-05	0.00206874602164227	6.74854906195168e-05	0.00413749204328453	6.74854906195168e-05	0.00413749204328453
Chart	3	opt2	3.37427453097584e-05	0.00206874602164227	6.74854906195168e-05	0.00413749204328453	6.74854906195168e-05	0.00413749204328453
Chart	3	tarantula	3.37427453097584e-05	0.00206874602164227	6.74854906195168e-05	0.00413749204328453	6.74854906195168e-05	0.00413749204328453
Chart	4	barinel	0.0079189706395441	0.0160210476781245	0.0079189706395441	0.0160210476781245	0.0079189706395441	0.0160210476781245
Chart	4	dstar2	0.00176564498905723	0.00357211610446835	0.00176564498905723	0.00357211610446835	0.00176564498905723	0.00357211610446835
Chart	4	ochiai	0.00182908133596947	0.0037004556052277	0.00182908133596947	0.0037004556052277	0.00182908133596947	0.0037004556052277
Chart	4	opt2	0.000169163591765962	0.000342238668691579	0.000169163591765962	0.000342238668691579	0.000169163591765962	0.000342238668691579
Chart	4	tarantula	0.0079189706395441	0.0160210476781245	0.0079189706395441	0.0160210476781245	0.0079189706395441	0.0160210476781245
Chart	5	barinel	6.4358707453298e-05	0.0109732824427481	8.39461401564756e-05	0.0143129770992366	8.39461401564756e-05	0.0143129770992366
Chart	5	dstar2	6.4358707453298e-05	0.0109732824427481	8.39461401564756e-05	0.0143129770992366	8.39461401564756e-05	0.0143129770992366
Chart	5	ochiai	6.4358707453298e-05	0.0109732824427481	8.39461401564756e-05	0.0143129770992366	8.39461401564756e-05	0.0143129770992366
Chart	5	opt2	6.4358707453298e-05	0.0109732824427481	8.39461401564756e-05	0.0143129770992366	8.39461401564756e-05	0.0143129770992366
Chart	5	tarantula	6.4358707453298e-05	0.0109732824427481	8.39461401564756e-05	0.0143129770992366	8.39461401564756e-05	0.0143129770992366
Chart	6	barinel	0.0012281675503962	0.0955882352941176	0.0012281675503962	0.0955882352941176	0.0012281675503962	0.0955882352941176
Chart	6	dstar2	0.000673130292044072	0.0523897058823529	0.000673130292044072	0.0523897058823529	0.000673130292044072	0.0523897058823529
Chart	6	ochiai	0.000673130292044072	0.0523897058823529	0.000673130292044072	0.0523897058823529	0.000673130292044072	0.0523897058823529
Chart	6	opt2	0.000177139550537914	0.0137867647058824	0.000177139550537914	0.0137867647058824	0.000177139550537914	0.0137867647058824
Chart	6	tarantula	0.0012281675503962	0.0955882352941176	0.0012281675503962	0.0955882352941176	0.0012281675503962	0.0955882352941176
Chart	7	barinel	0.000729990372018877	0.0656727014554491	0.000852313083005824	0.0766773162939297	0.000852313083005824	0.0766773162939297
Chart	7	dstar2	0.000729990372018877	0.0656727014554491	0.000852313083005824	0.0766773162939297	0.000852313083005824	0.0766773162939297
Chart	7	ochiai	0.000729990372018877	0.0656727014554491	0.000852313083005824	0.0766773162939297	0.000852313083005824	0.0766773162939297
Chart	7	opt2	0.000729990372018877	0.0656727014554491	0.000852313083005824	0.0766773162939297	0.000852313083005824	0.0766773162939297
Chart	7	tarantula	0.000729990372018877	0.0656727014554491	0.000852313083005824	0.0766773162939297	0.000852313083005824	0.0766773162939297
Chart	8	barinel	0.000112461970096954	0.0249343832020997	0.000112461970096954	0.0249343832020997	0.000112461970096954	0.0249343832020997
Chart	8	dstar2	0.000112461970096954	0.0249343832020997	0.000112461970096954	0.0249343832020997	0.000112461970096954	0.0249343832020997
Chart	8	ochiai	0.000112461970096954	0.0249343832020997	0.000112461970096954	0.0249343832020997	0.000112461970096954	0.0249343832020997
Chart	8	opt2	0.000112461970096954	0.0249343832020997	0.000112461970096954	0.0249343832020997	0.000112461970096954	0.0249343832020997
Chart	8	tarantula	0.000112461970096954	0.0249343832020997	0.000112461970096954	0.0249343832020997	0.000112461970096954	0.0249343832020997
Chart	9	barinel	0.000100631015662922	0.00440414507772021	0.000100631015662922	0.00440414507772021	0.000100631015662922	0.00440414507772021
Chart	9	dstar2	0.000100631015662922	0.00440414507772021	0.000100631015662922	0.00440414507772021	0.000100631015662922	0.00440414507772021
Chart	9	ochiai	0.000100631015662922	0.00440414507772021	0.000100631015662922	0.00440414507772021	0.000100631015662922	0.00440414507772021
Chart	9	opt2	0.000100631015662922	0.00440414507772021	0.000100631015662922	0.00440414507772021	0.000100631015662922	0.00440414507772021
Chart	9	tarantula	0.000100631015662922	0.00440414507772021	0.000100631015662922	0.00440414507772021	0.000100631015662922	0.00440414507772021
Chart	10	barinel	2.95921024596956e-05	0.0177304964539007	2.95921024596956e-05	0.0177304964539007	2.95921024596956e-05	0.0177304964539007
Chart	10	dstar2	2.95921024596956e-05	0.0177304964539007	2.95921024596956e-05	0.0177304964539007	2.95921024596956e-05	0.0177304964539007
