project	bug	formula	rank_best_case	rank_average_case	rank_worst_case
Chart	1	barinel	36	36	36
Chart	1	dstar2	36	36	36
Chart	1	ochiai	36	36	36
Chart	1	opt2	36	36	36
Chart	1	tarantula	36	36	36
Chart	2	barinel	89.2	102	770.5
Chart	2	dstar2	89.2	102	770.5
Chart	2	ochiai	89.2	102	770.5
Chart	2	opt2	136.2	149	1160
Chart	2	tarantula	89.2	102	770.5
Chart	3	barinel	3.25	6.5	6.5
Chart	3	dstar2	3.25	6.5	6.5
Chart	3	ochiai	3.25	6.5	6.5
Chart	3	opt2	3.25	6.5	6.5
Chart	3	tarantula	3.25	6.5	6.5
Chart	4	barinel	749	749	749
Chart	4	dstar2	167	167	167
Chart	4	ochiai	173	173	173
Chart	4	opt2	16	16	16
Chart	4	tarantula	749	749	749
Chart	5	barinel	5.75	7.5	7.5
Chart	5	dstar2	5.75	7.5	7.5
Chart	5	ochiai	5.75	7.5	7.5
Chart	5	opt2	5.75	7.5	7.5
Chart	5	tarantula	5.75	7.5	7.5
Chart	6	barinel	104	104	104
Chart	6	dstar2	57	57	57
Chart	6	ochiai	57	57	57
Chart	6	opt2	15	15	15
Chart	6	tarantula	104	104	104
Chart	7	barinel	61.6666666666667	72	72
Chart	7	dstar2	61.6666666666667	72	72
Chart	7	ochiai	61.6666666666667	72	72
Chart	7	opt2	61.6666666666667	72	72
Chart	7	tarantula	61.6666666666667	72	72
Chart	8	barinel	9.5	9.5	9.5
Chart	8	dstar2	9.5	9.5	9.5
Chart	8	ochiai	9.5	9.5	9.5
Chart	8	opt2	9.5	9.5	9.5
Chart	8	tarantula	9.5	9.5	9.5
Chart	9	barinel	8.5	8.5	8.5
Chart	9	dstar2	8.5	8.5	8.5
Chart	9	ochiai	8.5	8.5	8.5
Chart	9	opt2	8.5	8.5	8.5
Chart	9	tarantula	8.5	8.5	8.5
Chart	10	barinel	2.5	2.5	2.5
Chart	10	dstar2	2.5	2.5	2.5
Chart	10	ochiai	2.5	2.5	2.5
Chart	10	opt2	2.5	2.5	2.5
Chart	10	tarantula	2.5	2.5	2.5
Chart	11	barinel	10	10	10
Chart	11	dstar2	10	10	10
Chart	11	ochiai	10	10	10
Chart	11	opt2	10	10	10
Chart	11	tarantula	10	10	10
Chart	12	barinel	19.5	19.5	19.5
Chart	12	dstar2	19.5	19.5	19.5
Chart	12	ochiai	19.5	19.5	19.5
Chart	12	opt2	19.5	19.5	19.5
Chart	12	tarantula	19.5	19.5	19.5
Chart	13	barinel	44.5	44.5	44.5
Chart	13	dstar2	44.5	44.5	44.5
Chart	13	ochiai	44.5	44.5	44.5
Chart	13	opt2	44.5	44.5	44.5
Chart	13	tarantula	44.5	44.5	44.5
Chart	14	barinel	6.2	15.5	15.5
Chart	14	dstar2	16.2	25.5	25.5
Chart	14	ochiai	6.2	15.5	15.5
Chart	14	opt2	591.2	600.5	600.5
Chart	14	tarantula	6.2	15.5	15.5
Chart	15	barinel	31.6666666666667	34.5	7344.5
Chart	15	dstar2	31.6666666666667	34.5	7344.5
Chart	15	ochiai	31.6666666666667	34.5	7344.5
Chart	15	opt2	31.6666666666667	34.5	8509
